iter	Passed	Remaining
0	15	6086
1	21	4298
2	24	3226
3	32	3242
4	36	2899
5	41	2711
6	47	2653
7	52	2581
8	64	2800
9	69	2705
10	81	2898
11	85	2749
12	92	2746
13	96	2669
14	101	2600
15	109	2621
16	115	2595
17	150	3201
18	160	3221
19	169	3227
20	180	3253
21	191	3291
22	199	3268
23	211	3307
24	218	3275
25	225	3244
26	234	3242
27	242	3220
28	251	3217
29	259	3199
30	270	3221
31	282	3249
32	292	3257
33	304	3272
34	312	3262
35	320	3244
36	330	3241
37	338	3222
38	343	3180
39	352	3173
40	362	3177
41	370	3158
42	380	3156
43	388	3146
44	397	3134
45	405	3118
46	412	3097
47	422	3095
48	431	3088
49	440	3081
50	449	3077
51	462	3094
52	471	3087
53	481	3085
54	492	3090
55	505	3104
56	514	3098
57	525	3101
58	536	3100
59	544	3086
60	555	3088
61	563	3073
62	574	3075
63	584	3070
64	594	3063
65	603	3054
66	609	3031
67	618	3020
68	626	3006
69	635	2995
70	644	2988
71	654	2982
72	660	2959
73	669	2949
74	681	2953
75	690	2941
76	698	2928
77	708	2923
78	716	2912
79	725	2902
80	736	2900
81	745	2892
82	753	2878
83	763	2872
84	773	2867
85	784	2864
86	793	2855
87	801	2841
88	812	2840
89	821	2829
90	828	2814
91	835	2797
92	845	2789
93	853	2779
94	863	2773
95	875	2771
96	883	2758
97	894	2755
98	899	2734
99	907	2723
100	914	2707
101	925	2703
102	934	2693
103	944	2687
104	952	2676
105	963	2672
106	972	2662
107	981	2653
108	989	2642
109	995	2624
110	1006	2621
111	1015	2611
112	1025	2605
113	1032	2591
114	1042	2583
115	1053	2578
116	1060	2564
117	1070	2558
118	1080	2551
119	1088	2539
120	1091	2517
121	1102	2513
122	1109	2498
123	1117	2488
124	1126	2478
125	1135	2469
126	1143	2457
127	1151	2445
128	1159	2435
129	1170	2430
130	1174	2412
131	1181	2398
132	1189	2388
133	1199	2380
134	1207	2369
135	1219	2366
136	1229	2360
137	1237	2348
138	1244	2336
139	1250	2322
140	1260	2315
141	1266	2301
142	1277	2295
143	1286	2287
144	1296	2280
145	1303	2267
146	1313	2260
147	1320	2247
148	1328	2238
149	1336	2228
150	1347	2221
151	1354	2209
152	1363	2201
153	1374	2195
154	1382	2184
155	1391	2177
156	1403	2171
157	1413	2164
158	1421	2154
159	1430	2145
160	1442	2140
161	1452	2133
162	1459	2122
163	1470	2116
164	1475	2102
165	1481	2088
166	1490	2080
167	1503	2076
168	1512	2066
169	1520	2057
170	1529	2048
171	1537	2038
172	1545	2028
173	1555	2020
174	1567	2015
175	1574	2003
176	1584	1996
177	1594	1989
178	1607	1984
179	1618	1978
180	1629	1971
181	1638	1962
182	1647	1954
183	1656	1944
184	1669	1940
185	1682	1935
186	1696	1932
187	1706	1924
188	1718	1918
189	1726	1908
190	1734	1897
191	1743	1888
192	1750	1877
193	1760	1869
194	1765	1856
195	1770	1842
196	1779	1833
197	1785	1821
198	1794	1812
199	1800	1800
200	1807	1789
201	1813	1777
202	1824	1770
203	1829	1757
204	1835	1745
205	1844	1737
206	1849	1724
207	1858	1715
208	1864	1703
209	1869	1691
210	1881	1685
211	1893	1678
212	1900	1668
213	1912	1662
214	1923	1655
215	1929	1643
216	1933	1630
217	1942	1621
218	1946	1608
219	1956	1600
220	1959	1586
221	1963	1574
222	1973	1566
223	1980	1556
